DocID,TFIDFVectorSum,TFIDFFieldVectorSum,BM25plusVectorSum,BM25plusFieldVectorSum
100,0.07503217521073136,0.07582158199717345,0.0646837297548915,0.06588243331917605
101,0.08857812464192562,0.08758523779758498,0.07211247290879824,0.0722820578157377
102,0.07562971335933584,0.07550189570448049,0.06480179195337699,0.06576464496594728
103,0.10305804693061704,0.10256136232155906,0.0754515866571032,0.0759939269616042
104,0.08273540364925702,0.08330650273884928,0.06926475026922736,0.07055566939116728
105,0.07527602499546826,0.07448494133731741,0.06528506482521244,0.06572804939200651
106,0.08653697227014014,0.08738353281278544,0.07018568730353554,0.07134304376432415
107,0.08609991784772941,0.08499443529094888,0.07063899634147817,0.07101541762990549
108,0.07904203999853848,0.07919072044028935,0.06843874013204496,0.06906010951792635
109,0.08527167214036666,0.08485175031139298,0.06853536424597051,0.06940601391913545
110,0.08006750166695163,0.08313611655256288,0.06689344508722046,0.06958004130700328
111,0.08493057813196278,0.08756836480726701,0.06903512423691704,0.07154664778138886
112,0.07152163986609862,0.07400634981251322,0.0628862233199107,0.06509222807554146
113,0.08920206304660874,0.08944187090939994,0.06970637798462215,0.07084409769601806
114,0.07928661945212878,0.08018823841200913,0.06816867214092229,0.06961696740181736
115,0.08107532654490796,0.08125364847890604,0.06857563054168463,0.06998086908370589
116,0.0947328933456569,0.09681452978805488,0.06537275413435135,0.06745597937681806
117,0.08801833997246329,0.08753708084372565,0.07111143795242003,0.07158960736371191
118,0.08746128236135652,0.08813200074207143,0.06904579759759957,0.0705089083047686
119,0.08129797038983198,0.08069586854305043,0.06820755803417648,0.06879402921897544
120,0.07088409903531614,0.07225375932149408,0.061332269760242676,0.06327001429234905
121,0.08166545857252355,0.08134224065788444,0.06792416097076386,0.06879120602834304
122,0.073827226056535,0.07511295275120654,0.06371201537071278,0.06523821136866657
123,0.0835211477800918,0.08273918355950736,0.06836115035017078,0.06892805735961485
124,0.08509210427367746,0.08475497230235494,0.07054052172939815,0.07099702401493897
125,0.07473665073947594,0.07504618366326692,0.06295489918673221,0.06462355736876249
126,0.07554815801508248,0.07570690452960294,0.06577557319625088,0.0664040498019031
127,0.09574616055040767,0.09680346822430823,0.0674442737214688,0.06910720250150179
128,0.07465883775779793,0.07439040084441476,0.0641876606469612,0.06499157942564693
129,0.07022735679153828,0.07056877613460551,0.06108577405037867,0.06171458068353256
130,0.09416811932629154,0.09314719586856247,0.06980568765672578,0.07087619150665377
131,0.08308216184131355,0.08400777687012186,0.06783051873337351,0.06975349607387496
132,0.07820422177191282,0.07689055740407835,0.06590828285744753,0.06597278960340225
133,0.07509416973340687,0.07515126304017683,0.06454120245562221,0.06527453154024034
134,0.07265948495161854,0.07494733595455522,0.06260676235922864,0.06513565139297679
135,0.09442133251506829,0.095631750917058,0.0723735229383746,0.0739974780946654
136,0.08189159338481614,0.08281080555944642,0.06659054208823183,0.06788585182245412
137,0.09251532719929748,0.0891797639597322,0.07307793014032442,0.07236902904458366
138,0.08330403257407933,0.08406685906770281,0.0691306644432025,0.0701446538788541
139,0.08228614615466523,0.08238065606444005,0.06880443352594089,0.06992855466520836
140,0.0880820613861069,0.08794385889756584,0.06990585554556074,0.0708006330182666
141,0.0802577541799263,0.07964655755858244,0.06788773565525115,0.06806381812380488
142,0.07835556761111091,0.0775405991561883,0.06658094093202443,0.06661479978385627
143,0.08059640594591022,0.080604661016568,0.06718214134302765,0.06776451181415528
144,0.06532077549556059,0.06648209881604576,0.05785085596905308,0.05925518813797309
145,0.07837278154905787,0.07739630000064723,0.06631180461161269,0.06632623014601398
146,0.07821606400554974,0.07777094537321198,0.0678375929903864,0.06815911680837733
147,0.1033251683653536,0.10266122199621391,0.07339333810718791,0.07394302732663528
148,0.07817615788426242,0.07780247702185943,0.0665971063812006,0.06704814087750703
149,0.09072463912270236,0.09008256857708932,0.07190978996739501,0.07269859334690525
150,0.08732246493867162,0.08686977834799368,0.07113082491922268,0.07157816085022703
151,0.075542093511419,0.07525712562647623,0.06445143488975416,0.06512821722771035
152,0.07891053405519259,0.07898704899027964,0.06660110192210923,0.06743875789627432
153,0.08759570340690712,0.0884070598423963,0.0725737939700149,0.07383559382000032
154,0.08850226435822045,0.08790981562600889,0.07132056801422973,0.07177406720937189
155,0.07753725021331535,0.07750580437905252,0.0647535930391909,0.06552519148185686
156,0.07465271246087082,0.0747347467170446,0.0633066770640746,0.06423216997161565
157,0.08391143148913341,0.08499937451243844,0.07132446979113298,0.07248593610324626
158,0.0755749595789963,0.07700923407439267,0.06462953069518108,0.06643972645103545
159,0.07539456332434408,0.07431160898345131,0.06409619157548743,0.06403322888571772
160,0.0839163607960955,0.08432631157506591,0.06914683178285405,0.07025492114553249
161,0.07525354007512955,0.0747642185265811,0.06506623654135847,0.06525029501612578
162,0.07548741282255422,0.0739771719403214,0.06426961146244242,0.06389744300896592
163,0.09454175949036558,0.09465793721336077,0.07249984340326603,0.07401821698243181
164,0.07808526653671165,0.07801708222541211,0.06715523282553329,0.06776675156129855
165,0.07894967496815865,0.07998160596171294,0.06656298811558407,0.06780705648286386
166,0.07317033372851756,0.07405848401692454,0.06418838454380997,0.06526316913852441
167,0.0845235670915887,0.0852149273948097,0.06920275639816173,0.0703359517671709
168,0.08218791795958681,0.08112703352107398,0.06997609050659766,0.07012964516949122
169,0.07779463188136869,0.07923576903747082,0.06559843873115083,0.06702215175228665
170,0.07717164806244782,0.07788057248131627,0.06572894613114487,0.06671933468171069
171,0.0789706572272053,0.07886359733716573,0.06639254330638647,0.06729571634123448
172,0.08242510776559245,0.08286860687724301,0.06631561451122081,0.06720911953454299
173,0.08552453214630433,0.08386057039178452,0.07012574412194068,0.07017433344766472
174,0.08222989972388113,0.0805940007121027,0.06751461013895807,0.06752226978235217
175,0.07968227215109715,0.08098991507600596,0.06734473025586993,0.06859492083887676
176,0.07836271548533968,0.07936166528498173,0.0664462544101387,0.06767533770469666
177,0.0925443827100062,0.0921367116406124,0.07064652880682938,0.07141790213680015
178,0.07949488567097437,0.07920272976033933,0.0669572721894115,0.06767241355858741
179,0.0783997605370972,0.07795018286517608,0.06481292318513046,0.06538516851217101
180,0.08341723174666506,0.08231163082143526,0.0691739075325647,0.06958631376613054
181,0.0862597156041327,0.0889033285541129,0.06946436411804915,0.07205726127408948
182,0.08027142134061854,0.0820289112208441,0.06637568746680375,0.06811512221774546
183,0.09719658669154854,0.09741839488630803,0.07313923172165498,0.07460253460175907
184,0.08314238254822562,0.0818647107118706,0.06754957007739402,0.06784281755814879
185,0.09145367981515333,0.08997738431088563,0.07047136821693244,0.07072844991728605
186,0.09049796889572469,0.09040502801167244,0.07395109195759415,0.07492779361062153
187,0.09578434663947592,0.09332178974250963,0.07019946548025309,0.07111172585273089
188,0.08029713657320209,0.08087491024269307,0.06686972321780159,0.06831877184013292
189,0.08642956821819386,0.08564114286146657,0.07158945019811715,0.07195430661863923
190,0.08502338490493615,0.08442251674979741,0.07013409968654293,0.0708048814609127
191,0.0791383476330075,0.07855926269642509,0.06692223616922395,0.06756810563188823
192,0.09044186142435774,0.09190459905275682,0.07124399949469878,0.07319333276372487
193,0.07826114113329093,0.07848343765270804,0.06745432489820104,0.06812767755655191
194,0.08339862613794204,0.08496796520512923,0.06946253273810922,0.07113487346296052
195,0.08312062374109583,0.08278596200331483,0.06903823937566464,0.06974431874589083
196,0.07549434563744628,0.07606777054740294,0.0647497747791809,0.06569769926693451
